# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Activity","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Activity","options":{},"default_option_id":""},"2":{"aname":"Object","anchor_id":"FILE1_Z1_XY1","type":4,"desc":"Name of Object","options":{"1":"Egg","2":"Bottle","3":"Mixer","4":"Cup","5":"Garlic","6":"Knife","7":"Tea Bag"},"default_option_id":""},"3":{"aname":"Type","anchor_id":"FILE1_Z1_XY1","type":3,"desc":"Type of Object","options":{"1":"Ingredient","2":"Tool","3":"Unknown"},"default_option_id":"3"},"5":{"aname":"Phase","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Phase of the Activity (e.g. start, middle, end)","options":{},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"-glfwaaX","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[2,6.5]","[]","{""1"":""1. break egg""}"
"+mHHT-tg","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[9,20]","[]","{""1"":""2. pour liquid""}"
"ed+wsOZZ","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[24,26]","[]","{""1"":""2. pour liquid""}"
"mxCVj1qz","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[32,63]","[]","{""1"":""3. cut garlic""}"
"kHRoMie1","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[64,128]","[]","{""1"":""4. mix""}"
"fH-oMre1","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[0.917]","[4,263,184,17,13]","{""2"":""1"",""3"":""1""}"
"vPao-re8","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[0.917]","[2,343,730,60,160]","{""2"":""2"",""3"":""1""}"
"x-PoM9ea","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[0.917]","[7,225,133,177,177,195,188,246,138]","{""2"":""6"",""3"":""2""}"
"mR8ks-Aa","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[7.208]","[4,328,110,25,21]","{""2"":""1"",""3"":""1""}"
"Yh7Klow6","[""Alioli_Wikimedia_Wardtmar.mp4""]",0,"[21.52]","[2,315,52,80,155]","{""2"":""2"",""3"":""1""}"
"A7jfx8PX","[""https://upload.wikimedia.org/wikipedia/commons/transcoded/8/89/Grilledcheesesandwich.webm/Grilledcheesesandwich.webm.360p.webm""]",0,"[2,7]","[]","{""1"":""1. Heat Pan""}"
"M8kl0+Xe","[""https://upload.wikimedia.org/wikipedia/commons/transcoded/8/89/Grilledcheesesandwich.webm/Grilledcheesesandwich.webm.360p.webm""]",0,"[8,23]","[]","{""1"":""2. Spread butter""}"
"yp-X6Hjy","[""https://upload.wikimedia.org/wikipedia/commons/transcoded/8/89/Grilledcheesesandwich.webm/Grilledcheesesandwich.webm.360p.webm""]",0,"[24,27]","[]","{""1"":""3. Roast Bread""}"
